R_fighter;B_fighter;win_by;last_round;last_round_time;Format;Referee;date;location;Winner;weight_class;title_bout
Luke Rockhold;Tim Boetsch;Submission;1;2:08;3 Rnd (5-5-5);Mario Yamasaki;April 26, 2014;Baltimore, Maryland, USA;Luke Rockhold;Middleweight;False
Jim Miller;Yancy Medeiros;Submission;1;3:18;3 Rnd (5-5-5);Mario Yamasaki;April 26, 2014;Baltimore, Maryland, USA;Jim Miller;Lightweight;False
Max Holloway;Andre Fili;Submission;3;3:39;3 Rnd (5-5-5);Kevin Mulhall;April 26, 2014;Baltimore, Maryland, USA;Max Holloway;Featherweight;False
Joseph Benavidez;Tim Elliott;Submission;1;4:08;3 Rnd (5-5-5);Mario Yamasaki;April 26, 2014;Baltimore, Maryland, USA;Joseph Benavidez;Flyweight;False
Takanori Gomi;Isaac Vallie-Flagg;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Herb Dean;April 26, 2014;Baltimore, Maryland, USA;Takanori Gomi;Lightweight;False
Jessamyn Duke;Bethe Correia;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Kevin Mulhall;April 26, 2014;Baltimore, Maryland, USA;Bethe Correia;Women's Bantamweight;False
Danny Castillo;Charlie Brenneman;KO/TKO;2;0:21;3 Rnd (5-5-5);Dan Miragliotta;April 26, 2014;Baltimore, Maryland, USA;Danny Castillo;Lightweight;False
Chris Beal;Patrick Williams;KO/TKO;2;1:51;3 Rnd (5-5-5);Herb Dean;April 26, 2014;Baltimore, Maryland, USA;Chris Beal;Bantamweight;False
Fabricio Werdum;Travis Browne;Decision - Unanimous;5;5:00;5 Rnd (5-5-5-5-5);John McCarthy;April 19, 2014;Orlando, Florida, USA;Fabricio Werdum;Heavyweight;False
Miesha Tate;Liz Carmouche;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Herb Dean;April 19, 2014;Orlando, Florida, USA;Miesha Tate;Women's Bantamweight;False
Donald Cerrone;Edson Barboza;Submission;1;3:15;3 Rnd (5-5-5);Jorge Alonso;April 19, 2014;Orlando, Florida, USA;Donald Cerrone;Lightweight;False
Brad Tavares;Yoel Romero;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Jorge Ortiz;April 19, 2014;Orlando, Florida, USA;Yoel Romero;Middleweight;False
Rafael Dos Anjos;Khabib Nurmagomedov;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);John McCarthy;April 19, 2014;Orlando, Florida, USA;Khabib Nurmagomedov;Lightweight;False
Thiago Alves;Seth Baczynski;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Herb Dean;April 19, 2014;Orlando, Florida, USA;Thiago Alves;Welterweight;False
Jorge Masvidal;Pat Healy;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Jorge Alonso;April 19, 2014;Orlando, Florida, USA;Jorge Masvidal;Lightweight;False
Estevan Payan;Alex White;KO/TKO;1;1:28;3 Rnd (5-5-5);Jorge Ortiz;April 19, 2014;Orlando, Florida, USA;Alex White;Featherweight;False
Caio Magalhaes;Luke Zachrich;KO/TKO;1;0:44;3 Rnd (5-5-5);John McCarthy;April 19, 2014;Orlando, Florida, USA;Caio Magalhaes;Middleweight;False
Jordan Mein;Hernani Perpetuo;Decision - Split;3;5:00;3 Rnd (5-5-5);Herb Dean;April 19, 2014;Orlando, Florida, USA;Jordan Mein;Welterweight;False
Dustin Ortiz;Ray Borg;Decision - Split;3;5:00;3 Rnd (5-5-5);Jorge Alonso;April 19, 2014;Orlando, Florida, USA;Dustin Ortiz;Flyweight;False
Mirsad Bektic;Chas Skelly;Decision - Majority;3;5:00;3 Rnd (5-5-5);Jorge Ortiz;April 19, 2014;Orlando, Florida, USA;Mirsad Bektic;Featherweight;False
Derrick Lewis;Jack May;KO/TKO;1;4:23;3 Rnd (5-5-5);John McCarthy;April 19, 2014;Orlando, Florida, USA;Derrick Lewis;Heavyweight;False
Michael Bisping;Tim Kennedy;Decision - Unanimous;5;5:00;5 Rnd (5-5-5-5-5);Yves Lavigne;April 16, 2014;Quebec City, Quebec, Canada;Tim Kennedy;Middleweight;False
Patrick Cote;Kyle Noke;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Dan Miragliotta;April 16, 2014;Quebec City, Quebec, Canada;Patrick Cote;Welterweight;False
Sheldon Westcott;Elias Theodorou;KO/TKO;2;4:41;3 Rnd (5-5-5);Philippe Chartier;April 16, 2014;Quebec City, Quebec, Canada;Elias Theodorou;Middleweight;True
Chad Laprise;Olivier Aubin-Mercier;Decision - Split;3;5:00;3 Rnd (5-5-5);Yves Lavigne;April 16, 2014;Quebec City, Quebec, Canada;Chad Laprise;Welterweight;True
Dustin Poirier;Akira Corassani;KO/TKO;2;0:42;3 Rnd (5-5-5);Dan Miragliotta;April 16, 2014;Quebec City, Quebec, Canada;Dustin Poirier;Featherweight;False
Sam Stout;KJ Noons;KO/TKO;1;0:30;3 Rnd (5-5-5);Philippe Chartier;April 16, 2014;Quebec City, Quebec, Canada;KJ Noons;Welterweight;False
Sarah Kaufman;Leslie Smith;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Yves Lavigne;April 16, 2014;Quebec City, Quebec, Canada;Sarah Kaufman;Women's Bantamweight;False
Ryan Jimmo;Sean O'Connell;KO/TKO;1;4:27;3 Rnd (5-5-5);Dan Miragliotta;April 16, 2014;Quebec City, Quebec, Canada;Ryan Jimmo;Light Heavyweight;False
George Roop;Dustin Kimura;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Philippe Chartier;April 16, 2014;Quebec City, Quebec, Canada;George Roop;Bantamweight;False
Mark Bocek;Mike de la Torre;Decision - Split;3;5:00;3 Rnd (5-5-5);Yves Lavigne;April 16, 2014;Quebec City, Quebec, Canada;Mark Bocek;Lightweight;False
Nordine Taleb;Vik Grujic;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Dan Miragliotta;April 16, 2014;Quebec City, Quebec, Canada;Nordine Taleb;Middleweight;False
Richard Walsh;Chris Indich;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Philippe Chartier;April 16, 2014;Quebec City, Quebec, Canada;Richard Walsh;Welterweight;False
Mitch Gagnon;Tim Gorman;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Dan Miragliotta;April 16, 2014;Quebec City, Quebec, Canada;Mitch Gagnon;Bantamweight;False
Minotauro Nogueira;Roy Nelson;KO/TKO;1;3:37;5 Rnd (5-5-5-5-5);Leon Roberts;April 11, 2014;Abu Dhabi, United Arab Emirates;Roy Nelson;Heavyweight;False
Clay Guida;Tatsuya Kawajiri;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Marc Goddard;April 11, 2014;Abu Dhabi, United Arab Emirates;Clay Guida;Featherweight;False
John Howard;Ryan LaFlare;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Leon Roberts;April 11, 2014;Abu Dhabi, United Arab Emirates;Ryan LaFlare;Welterweight;False
Ramsey Nijem;Beneil Dariush;KO/TKO;1;4:20;3 Rnd (5-5-5);Neil Hall;April 11, 2014;Abu Dhabi, United Arab Emirates;Ramsey Nijem;Lightweight;False
Jared Rosholt;Daniel Omielanczuk;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Marc Goddard;April 11, 2014;Abu Dhabi, United Arab Emirates;Jared Rosholt;Heavyweight;False
Thales Leites;Trevor Smith;KO/TKO;1;0:45;3 Rnd (5-5-5);Neil Hall;April 11, 2014;Abu Dhabi, United Arab Emirates;Thales Leites;Middleweight;False
Alan Omer;Jim Alers;Decision - Split;3;5:00;3 Rnd (5-5-5);Marc Goddard;April 11, 2014;Abu Dhabi, United Arab Emirates;Jim Alers;Featherweight;False
Rani Yahya;Johnny Bedford;Could Not Continue;1;0:39;3 Rnd (5-5-5);Neil Hall;April 11, 2014;Abu Dhabi, United Arab Emirates;;Bantamweight;False
Mauricio Rua;Dan Henderson;KO/TKO;3;1:31;5 Rnd (5-5-5-5-5);Herb Dean;March 23, 2014;Natal, Rio Grande do Norte, Brazil;Dan Henderson;Light Heavyweight;False
Cezar Ferreira;CB Dollaway;KO/TKO;1;0:39;3 Rnd (5-5-5);Mario Yamasaki;March 23, 2014;Natal, Rio Grande do Norte, Brazil;CB Dollaway;Middleweight;False
Leonardo Santos;Norman Parke;Decision - Majority;3;5:00;3 Rnd (5-5-5);Wernei Cardoso;March 23, 2014;Natal, Rio Grande do Norte, Brazil;;Lightweight;False
Fabio Maldonado;Gian Villante;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Herb Dean;March 23, 2014;Natal, Rio Grande do Norte, Brazil;Fabio Maldonado;Light Heavyweight;False
Michel Prazeres;Mairbek Taisumov;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Mario Yamasaki;March 23, 2014;Natal, Rio Grande do Norte, Brazil;Michel Prazeres;Lightweight;False
Rony Jason;Steven Siler;KO/TKO;1;1:17;3 Rnd (5-5-5);Wernei Cardoso;March 23, 2014;Natal, Rio Grande do Norte, Brazil;Rony Jason;Featherweight;False
Ronny Markes;Thiago Santos;KO/TKO;1;0:53;3 Rnd (5-5-5);Mario Yamasaki;March 23, 2014;Natal, Rio Grande do Norte, Brazil;Thiago Santos;Middleweight;False
Jussier Formiga;Scott Jorgensen;Submission;1;3:07;3 Rnd (5-5-5);Wernei Cardoso;March 23, 2014;Natal, Rio Grande do Norte, Brazil;Jussier Formiga;Flyweight;False
Thiago Perpetuo;Kenny Robertson;Submission;1;1:45;3 Rnd (5-5-5);Herb Dean;March 23, 2014;Natal, Rio Grande do Norte, Brazil;Kenny Robertson;Welterweight;False
Francimar Barroso;Hans Stringer;Decision - Split;3;5:00;3 Rnd (5-5-5);Mario Yamasaki;March 23, 2014;Natal, Rio Grande do Norte, Brazil;Hans Stringer;Light Heavyweight;False
Godofredo Pepey;Noad Lahat;KO/TKO;1;2:39;3 Rnd (5-5-5);Wernei Cardoso;March 23, 2014;Natal, Rio Grande do Norte, Brazil;Godofredo Pepey;Featherweight;False
Johny Hendricks;Robbie Lawler;Decision - Unanimous;5;5:00;5 Rnd (5-5-5-5-5);Dan Miragliotta;March 15, 2014;Dallas, Texas, USA;Johny Hendricks;Welterweight;True
Carlos Condit;Tyron Woodley;KO/TKO;2;2:00;3 Rnd (5-5-5);Jacob Montalvo;March 15, 2014;Dallas, Texas, USA;Tyron Woodley;Welterweight;False
Diego Sanchez;Myles Jury;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Kerry Hatley;March 15, 2014;Dallas, Texas, USA;Myles Jury;Lightweight;False
Jake Shields;Hector Lombard;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Don Turnage;March 15, 2014;Dallas, Texas, USA;Hector Lombard;Welterweight;False
Ovince Saint Preux;Nikita Krylov;Submission;1;1:29;3 Rnd (5-5-5);Dan Miragliotta;March 15, 2014;Dallas, Texas, USA;Ovince Saint Preux;Light Heavyweight;False
Kelvin Gastelum;Rick Story;Decision - Split;3;5:00;3 Rnd (5-5-5);Jacob Montalvo;March 15, 2014;Dallas, Texas, USA;Kelvin Gastelum;Welterweight;False
Raquel Pennington;Jessica Andrade;Decision - Split;3;5:00;3 Rnd (5-5-5);Don Turnage;March 15, 2014;Dallas, Texas, USA;Jessica Andrade;Women's Bantamweight;False
Dennis Bermudez;Jimy Hettes;KO/TKO;3;2:57;3 Rnd (5-5-5);Kerry Hatley;March 15, 2014;Dallas, Texas, USA;Dennis Bermudez;Featherweight;False
Sean Spencer;Alex Garcia;Decision - Split;3;5:00;3 Rnd (5-5-5);Don Turnage;March 15, 2014;Dallas, Texas, USA;Alex Garcia;Welterweight;False
Renee Forte;Francisco Trevino;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Dan Miragliotta;March 15, 2014;Dallas, Texas, USA;Francisco Trevino;Lightweight;False
Will Campuzano;Justin Scoggins;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Jacob Montalvo;March 15, 2014;Dallas, Texas, USA;Justin Scoggins;Flyweight;False
Bubba McDaniel;Sean Strickland;Submission;1;4:33;3 Rnd (5-5-5);;March 15, 2014;Dallas, Texas, USA;Sean Strickland;Middleweight;False
Daniel Pineda;Rob Whiteford;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);;March 15, 2014;Dallas, Texas, USA;Rob Whiteford;Featherweight;False
Alexander Gustafsson;Jimi Manuwa;KO/TKO;2;1:18;5 Rnd (5-5-5-5-5);Marc Goddard;March 08, 2014;London, England, United Kingdom;Alexander Gustafsson;Light Heavyweight;False
Michael Johnson;Melvin Guillard;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Leon Roberts;March 08, 2014;London, England, United Kingdom;Michael Johnson;Lightweight;False
Brad Pickett;Neil Seery;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Neil Hall;March 08, 2014;London, England, United Kingdom;Brad Pickett;Flyweight;False
Gunnar Nelson;Omari Akhmedov;Submission;1;4:36;3 Rnd (5-5-5);Grant Waterman;March 08, 2014;London, England, United Kingdom;Gunnar Nelson;Welterweight;False
Cyrille Diabate;Ilir Latifi;Submission;1;3:02;3 Rnd (5-5-5);Leon Roberts;March 08, 2014;London, England, United Kingdom;Ilir Latifi;Light Heavyweight;False
Luke Barnatt;Mats Nilsson;KO/TKO;1;4:24;3 Rnd (5-5-5);Marc Goddard;March 08, 2014;London, England, United Kingdom;Luke Barnatt;Middleweight;False
Bradley Scott;Claudio Silva;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Neil Hall;March 08, 2014;London, England, United Kingdom;Claudio Silva;Middleweight;False
Igor Araujo;Danny Mitchell;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Leon Roberts;March 08, 2014;London, England, United Kingdom;Igor Araujo;Welterweight;False
Phil Harris;Louis Gaudinot;Overturned;1;1:13;3 Rnd (5-5-5);Grant Waterman;March 08, 2014;London, England, United Kingdom;;Flyweight;False
Dong Hyun Kim;John Hathaway;KO/TKO;3;1:02;5 Rnd (5-5-5-5-5);Leon Roberts;March 01, 2014;Macau, China;Dong Hyun Kim;Welterweight;False
Sai Wang;Zhang Lipeng;Decision - Split;3;5:00;3 Rnd (5-5-5);Jerin Valel;March 01, 2014;Macau, China;Zhang Lipeng;Welterweight;True
Matt Mitrione;Shawn Jordan;KO/TKO;1;4:59;3 Rnd (5-5-5);Dan Miragliotta;March 01, 2014;Macau, China;Matt Mitrione;Heavyweight;False
Hatsu Hioki;Ivan Menjivar;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Dan Miragliotta;March 01, 2014;Macau, China;Hatsu Hioki;Featherweight;False
Kazuki Tokudome;Yui Chul Nam;Decision - Split;3;5:00;3 Rnd (5-5-5);Jerin Valel;March 01, 2014;Macau, China;Yui Chul Nam;Lightweight;False
Nam Phan;Vaughan Lee;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Leon Roberts;March 01, 2014;Macau, China;Vaughan Lee;Bantamweight;False
Albert Cheng;An Ying Wang;TKO - Doctor's Stoppage;1;5:00;3 Rnd (5-5-5);Leon Roberts;March 01, 2014;Macau, China;An Ying Wang;Welterweight;False
Jumabieke Tuerxun;Mark Eddiva;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Jerin Valel;March 01, 2014;Macau, China;Mark Eddiva;Featherweight;False
Ronda Rousey;Sara McMann;KO/TKO;1;1:06;5 Rnd (5-5-5-5-5);Herb Dean;February 22, 2014;Las Vegas, Nevada, USA;Ronda Rousey;Women's Bantamweight;True
Daniel Cormier;Patrick Cummins;KO/TKO;1;1:19;3 Rnd (5-5-5);Mario Yamasaki;February 22, 2014;Las Vegas, Nevada, USA;Daniel Cormier;Light Heavyweight;False
Rory MacDonald;Demian Maia;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Yves Lavigne;February 22, 2014;Las Vegas, Nevada, USA;Rory MacDonald;Welterweight;False
Mike Pyle;TJ Waldburger;KO/TKO;3;4:03;3 Rnd (5-5-5);Herb Dean;February 22, 2014;Las Vegas, Nevada, USA;Mike Pyle;Welterweight;False
Robert Whittaker;Stephen Thompson;KO/TKO;1;3:43;3 Rnd (5-5-5);Mario Yamasaki;February 22, 2014;Las Vegas, Nevada, USA;Stephen Thompson;Welterweight;False
Alexis Davis;Jessica Eye;Decision - Split;3;5:00;3 Rnd (5-5-5);Yves Lavigne;February 22, 2014;Las Vegas, Nevada, USA;Alexis Davis;Women's Bantamweight;False
Raphael Assuncao;Pedro Munhoz;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Chris Tognoni;February 22, 2014;Las Vegas, Nevada, USA;Raphael Assuncao;Bantamweight;False
Cody Gibson;Aljamain Sterling;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Herb Dean;February 22, 2014;Las Vegas, Nevada, USA;Aljamain Sterling;Bantamweight;False
Zach Makovsky;Joshua Sampo;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Chris Tognoni;February 22, 2014;Las Vegas, Nevada, USA;Zach Makovsky;Flyweight;False
Rafaello Oliveira;Erik Koch;KO/TKO;1;1:24;3 Rnd (5-5-5);Yves Lavigne;February 22, 2014;Las Vegas, Nevada, USA;Erik Koch;Lightweight;False
Ernest Chavez;Yosdenis Cedeno;Decision - Split;3;5:00;3 Rnd (5-5-5);Chris Tognoni;February 22, 2014;Las Vegas, Nevada, USA;Ernest Chavez;Lightweight;False
Lyoto Machida;Gegard Mousasi;Decision - Unanimous;5;5:00;5 Rnd (5-5-5-5-5);Mario Yamasaki;February 15, 2014;Jaragua do Sul, Santa Catarina, Brazil;Lyoto Machida;Middleweight;False
Jacare Souza;Francis Carmont;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Keith Peterson;February 15, 2014;Jaragua do Sul, Santa Catarina, Brazil;Jacare Souza;Middleweight;False
Erick Silva;Takenori Sato;KO/TKO;1;0:52;3 Rnd (5-5-5);Mario Yamasaki;February 15, 2014;Jaragua do Sul, Santa Catarina, Brazil;Erick Silva;Welterweight;False
Viscardi Andrade;Nico Musoke;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Keith Peterson;February 15, 2014;Jaragua do Sul, Santa Catarina, Brazil;Nico Musoke;Welterweight;False
Charles Oliveira;Andy Ogle;Submission;3;2:40;3 Rnd (5-5-5);Mario Yamasaki;February 15, 2014;Jaragua do Sul, Santa Catarina, Brazil;Charles Oliveira;Featherweight;False
Cristiano Marcello;Joe Proctor;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Osiris de Medeiros;February 15, 2014;Jaragua do Sul, Santa Catarina, Brazil;Joe Proctor;Lightweight;False
Rodrigo Damm;Ivan Jorge;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Mario Yamasaki;February 15, 2014;Jaragua do Sul, Santa Catarina, Brazil;Rodrigo Damm;Lightweight;False
Francisco Trinaldo;Jesse Ronson;Decision - Split;3;5:00;3 Rnd (5-5-5);Keith Peterson;February 15, 2014;Jaragua do Sul, Santa Catarina, Brazil;Francisco Trinaldo;Lightweight;False
Iuri Alcantara;Wilson Reis;Decision - Split;3;5:00;3 Rnd (5-5-5);Osiris de Medeiros;February 15, 2014;Jaragua do Sul, Santa Catarina, Brazil;Iuri Alcantara;Bantamweight;False
Felipe Arantes;Maximo Blanco;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Mario Yamasaki;February 15, 2014;Jaragua do Sul, Santa Catarina, Brazil;Felipe Arantes;Featherweight;False
Ildemar Alcantara;Albert Tumenov;Decision - Split;3;5:00;3 Rnd (5-5-5);Keith Peterson;February 15, 2014;Jaragua do Sul, Santa Catarina, Brazil;Ildemar Alcantara;Welterweight;False
Douglas Silva de Andrade;Zubaira Tukhugov;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Osiris de Medeiros;February 15, 2014;Jaragua do Sul, Santa Catarina, Brazil;Zubaira Tukhugov;Featherweight;False
Renan Barao;Urijah Faber;KO/TKO;1;3:42;5 Rnd (5-5-5-5-5);Herb Dean;February 01, 2014;Newark, New Jersey, USA;Renan Barao;Bantamweight;True
Jose Aldo;Ricardo Lamas;Decision - Unanimous;5;5:00;5 Rnd (5-5-5-5-5);Keith Peterson;February 01, 2014;Newark, New Jersey, USA;Jose Aldo;Featherweight;True
Frank Mir;Alistair Overeem;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Dan Miragliotta;February 01, 2014;Newark, New Jersey, USA;Alistair Overeem;Heavyweight;False
John Lineker;Ali Bagautinov;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Keith Peterson;February 01, 2014;Newark, New Jersey, USA;Ali Bagautinov;Flyweight;False
Jamie Varner;Abel Trujillo;KO/TKO;2;2:32;3 Rnd (5-5-5);Dan Miragliotta;February 01, 2014;Newark, New Jersey, USA;Abel Trujillo;Lightweight;False
John Makdessi;Alan Patrick;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Dan Miragliotta;February 01, 2014;Newark, New Jersey, USA;Alan Patrick;Lightweight;False
Chris Cariaso;Danny Martinez;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Keith Peterson;February 01, 2014;Newark, New Jersey, USA;Chris Cariaso;Flyweight;False
Nick Catone;Tom Watson;Decision - Split;3;5:00;3 Rnd (5-5-5);Herb Dean;February 01, 2014;Newark, New Jersey, USA;Nick Catone;Middleweight;False
Al Iaquinta;Kevin Lee;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Herb Dean;February 01, 2014;Newark, New Jersey, USA;Al Iaquinta;Lightweight;False
Clint Hester;Andy Enz;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Gasper Oliver;February 01, 2014;Newark, New Jersey, USA;Clint Hester;Middleweight;False
Anthony Rocco Martin;Rashid Magomedov;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Gasper Oliver;February 01, 2014;Newark, New Jersey, USA;Rashid Magomedov;Lightweight;False
Neil Magny;Gasan Umalatov;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Gasper Oliver;February 01, 2014;Newark, New Jersey, USA;Neil Magny;Welterweight;False
Benson Henderson;Josh Thomson;Decision - Split;5;5:00;5 Rnd (5-5-5-5-5);John McCarthy;January 25, 2014;Chicago, Illinois, USA;Benson Henderson;Lightweight;False
Stipe Miocic;Gabriel Gonzaga;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Herb Dean;January 25, 2014;Chicago, Illinois, USA;Stipe Miocic;Heavyweight;False
Donald Cerrone;Adriano Martins;KO/TKO;1;4:40;3 Rnd (5-5-5);John McCarthy;January 25, 2014;Chicago, Illinois, USA;Donald Cerrone;Lightweight;False
Darren Elkins;Jeremy Stephens;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);John McCarthy;January 25, 2014;Chicago, Illinois, USA;Jeremy Stephens;Featherweight;False
Alex Caceres;Sergio Pettis;Submission;3;4:39;3 Rnd (5-5-5);Herb Dean;January 25, 2014;Chicago, Illinois, USA;Alex Caceres;Bantamweight;False
Eddie Wineland;Yves Jabouin;KO/TKO;2;4:16;3 Rnd (5-5-5);Robert Madrigal;January 25, 2014;Chicago, Illinois, USA;Eddie Wineland;Bantamweight;False
Chico Camus;Yaotzin Meza;Overturned;3;5:00;3 Rnd (5-5-5);Otto Torriero;January 25, 2014;Chicago, Illinois, USA;;Bantamweight;False
Junior Hernandez;Hugo Viana;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Otto Torriero;January 25, 2014;Chicago, Illinois, USA;Hugo Viana;Bantamweight;False
Daron Cruickshank;Mike Rio;KO/TKO;2;4:56;3 Rnd (5-5-5);Herb Dean;January 25, 2014;Chicago, Illinois, USA;Daron Cruickshank;Lightweight;False
George Sullivan;Mike Rhodes;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);John McCarthy;January 25, 2014;Chicago, Illinois, USA;George Sullivan;Welterweight;False
Walt Harris;Nikita Krylov;KO/TKO;1;0:25;3 Rnd (5-5-5);Robert Madrigal;January 25, 2014;Chicago, Illinois, USA;Nikita Krylov;Heavyweight;False
Luke Rockhold;Costas Philippou;KO/TKO;1;2:31;5 Rnd (5-5-5-5-5);Herb Dean;January 15, 2014;Duluth, Georgia, USA;Luke Rockhold;Middleweight;False
Lorenz Larkin;Brad Tavares;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Herb Dean;January 15, 2014;Duluth, Georgia, USA;Brad Tavares;Middleweight;False
TJ Dillashaw;Mike Easton;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Dan Miragliotta;January 15, 2014;Duluth, Georgia, USA;TJ Dillashaw;Bantamweight;False
Yoel Romero;Derek Brunson;KO/TKO;3;3:23;3 Rnd (5-5-5);Blake Grice;January 15, 2014;Duluth, Georgia, USA;Yoel Romero;Middleweight;False
John Moraga;Dustin Ortiz;Decision - Split;3;5:00;3 Rnd (5-5-5);Dan Miragliotta;January 15, 2014;Duluth, Georgia, USA;John Moraga;Flyweight;False
Cole Miller;Sam Sicilia;Submission;2;1:54;3 Rnd (5-5-5);Herb Dean;January 15, 2014;Duluth, Georgia, USA;Cole Miller;Featherweight;False
Ramsey Nijem;Justin Edwards;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);George Allen;January 15, 2014;Duluth, Georgia, USA;Ramsey Nijem;Lightweight;False
Isaac Vallie-Flagg;Elias Silverio;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Blake Grice;January 15, 2014;Duluth, Georgia, USA;Elias Silverio;Lightweight;False
Trevor Smith;Brian Houston;Decision - Split;3;5:00;3 Rnd (5-5-5);Blake Grice;January 15, 2014;Duluth, Georgia, USA;Trevor Smith;Middleweight;False
Alptekin Ozkilic;Louis Smolka;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Herb Dean;January 15, 2014;Duluth, Georgia, USA;Louis Smolka;Flyweight;False
Vinc Pichel;Garett Whiteley;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);George Allen;January 15, 2014;Duluth, Georgia, USA;Vinc Pichel;Lightweight;False
Charlie Brenneman;Beneil Dariush;Submission;1;1:45;3 Rnd (5-5-5);Dan Miragliotta;January 15, 2014;Duluth, Georgia, USA;Beneil Dariush;Lightweight;False
Tarec Saffiedine;Hyun Gyu Lim;Decision - Unanimous;5;5:00;5 Rnd (5-5-5-5-5);Leon Roberts;January 04, 2014;Singapore, Singapore;Tarec Saffiedine;Welterweight;False
Tatsuya Kawajiri;Sean Soriano;Submission;2;0:50;3 Rnd (5-5-5);Steve Perceval;January 04, 2014;Singapore, Singapore;Tatsuya Kawajiri;Featherweight;False
Kiichi Kunimoto;Luiz Dutra;DQ;1;2:57;3 Rnd (5-5-5);John Sharp;January 04, 2014;Singapore, Singapore;Kiichi Kunimoto;Welterweight;False
Kyung Ho Kang;Shunichi Shimizu;Submission;3;3:53;3 Rnd (5-5-5);Steve Perceval;January 04, 2014;Singapore, Singapore;Kyung Ho Kang;Bantamweight;False
Max Holloway;Will Chope;KO/TKO;2;2:27;3 Rnd (5-5-5);Leon Roberts;January 04, 2014;Singapore, Singapore;Max Holloway;Featherweight;False
Katsunori Kikuno;Quinn Mulhern;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Steve Perceval;January 04, 2014;Singapore, Singapore;Katsunori Kikuno;Lightweight;False
Royston Wee;Dave Galera;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);John Sharp;January 04, 2014;Singapore, Singapore;Royston Wee;Bantamweight;False
Mairbek Taisumov;Tae Hyun Bang;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Leon Roberts;January 04, 2014;Singapore, Singapore;Mairbek Taisumov;Lightweight;False
Dustin Kimura;Jon Delos Reyes;Submission;1;2:13;3 Rnd (5-5-5);Steve Perceval;January 04, 2014;Singapore, Singapore;Dustin Kimura;Bantamweight;False
